CPU,Time,GHz
1,2024-03-09 12:29:19.591993,2.785
2,2024-03-09 12:29:19.591994,2.398
3,2024-03-09 12:29:19.591995,2.648
0,2024-03-09 12:29:19.714108,2.676
1,2024-03-09 12:29:19.714112,3.073
2,2024-03-09 12:29:19.714113,2.832
3,2024-03-09 12:29:19.714114,2.710
0,2024-03-09 12:29:19.838903,2.590
1,2024-03-09 12:29:19.838908,2.782
2,2024-03-09 12:29:19.838909,2.726
3,2024-03-09 12:29:19.838910,2.623
0,2024-03-09 12:29:19.965764,2.531
1,2024-03-09 12:29:19.965767,2.639
2,2024-03-09 12:29:19.965770,2.415
3,2024-03-09 12:29:19.965772,2.695
0,2024-03-09 12:29:20.090227,2.670
1,2024-03-09 12:29:20.090231,2.672
2,2024-03-09 12:29:20.090233,2.583
3,2024-03-09 12:29:20.090234,2.702
0,2024-03-09 12:29:20.219471,2.776
1,2024-03-09 12:29:20.219475,2.750
2,2024-03-09 12:29:20.219477,2.918
3,2024-03-09 12:29:20.219478,2.789
0,2024-03-09 12:29:20.344577,2.579
1,2024-03-09 12:29:20.344580,2.573
2,2024-03-09 12:29:20.344582,2.641
3,2024-03-09 12:29:20.344583,2.608
0,2024-03-09 12:29:20.476638,2.631
1,2024-03-09 12:29:20.476642,2.782
2,2024-03-09 12:29:20.476644,2.694
3,2024-03-09 12:29:20.476645,2.740
0,2024-03-09 12:29:20.608178,0.651
1,2024-03-09 12:29:20.608182,0.699
2,2024-03-09 12:29:20.608183,0.656
3,2024-03-09 12:29:20.608185,0.052
0,2024-03-09 12:29:20.717009,0.028
1,2024-03-09 12:29:20.717013,0.020
2,2024-03-09 12:29:20.717015,0.079
3,2024-03-09 12:29:20.717016,0.018
0,2024-03-09 12:29:20.824288,0.108
1,2024-03-09 12:29:20.824291,0.060
2,2024-03-09 12:29:20.824293,0.325
3,2024-03-09 12:29:20.824294,0.376
0,2024-03-09 12:29:20.933721,0.018
1,2024-03-09 12:29:20.933724,0.036
2,2024-03-09 12:29:20.933726,0.226
3,2024-03-09 12:29:20.933727,0.273
0,2024-03-09 12:29:21.042691,0.072
1,2024-03-09 12:29:21.042697,0.097
2,2024-03-09 12:29:21.042698,0.169
3,2024-03-09 12:29:21.042700,0.118
0,2024-03-09 12:29:21.151335,0.093
1,2024-03-09 12:29:21.151340,0.029
2,2024-03-09 12:29:21.151341,0.317
3,2024-03-09 12:29:21.151342,0.297
0,2024-03-09 12:29:21.261981,0.050
1,2024-03-09 12:29:21.261985,0.027
2,2024-03-09 12:29:21.261986,0.079
3,2024-03-09 12:29:21.261988,0.118
0,2024-03-09 12:29:21.371103,0.065
1,2024-03-09 12:29:21.371106,0.069
2,2024-03-09 12:29:21.371108,0.142
3,2024-03-09 12:29:21.371109,0.130
0,2024-03-09 12:29:21.477320,0.043
1,2024-03-09 12:29:21.477324,0.028
2,2024-03-09 12:29:21.477325,0.164
3,2024-03-09 12:29:21.477326,0.167
0,2024-03-09 12:29:21.586572,0.015
1,2024-03-09 12:29:21.586576,0.020
2,2024-03-09 12:29:21.586577,0.031
3,2024-03-09 12:29:21.586578,0.020
0,2024-03-09 12:29:21.696673,0.327
1,2024-03-09 12:29:21.696676,0.045
2,2024-03-09 12:29:21.696678,0.244
3,2024-03-09 12:29:21.696679,0.083
0,2024-03-09 12:29:21.804431,0.203
1,2024-03-09 12:29:21.804435,0.028
2,2024-03-09 12:29:21.804436,0.309
3,2024-03-09 12:29:21.804439,0.044
0,2024-03-09 12:29:21.911945,0.013
1,2024-03-09 12:29:21.911948,0.022
2,2024-03-09 12:29:21.911950,0.022
3,2024-03-09 12:29:21.911951,0.012
0,2024-03-09 12:29:22.023639,0.241
1,2024-03-09 12:29:22.023644,0.033
2,2024-03-09 12:29:22.023646,0.219
3,2024-03-09 12:29:22.023647,0.047
0,2024-03-09 12:29:22.133900,0.078
1,2024-03-09 12:29:22.133908,0.026
2,2024-03-09 12:29:22.133911,0.556
3,2024-03-09 12:29:22.133913,0.161
0,2024-03-09 12:29:22.249844,0.093
1,2024-03-09 12:29:22.249851,0.016
2,2024-03-09 12:29:22.249854,0.195
3,2024-03-09 12:29:22.249856,0.038
0,2024-03-09 12:29:22.362828,0.152
1,2024-03-09 12:29:22.362835,0.015
2,2024-03-09 12:29:22.362837,0.058
3,2024-03-09 12:29:22.362840,0.019
0,2024-03-09 12:29:22.477136,0.011
1,2024-03-09 12:29:22.477143,0.014
2,2024-03-09 12:29:22.477145,0.345
3,2024-03-09 12:29:22.477148,0.077
0,2024-03-09 12:29:22.588160,0.023
1,2024-03-09 12:29:22.588167,0.011
2,2024-03-09 12:29:22.588169,0.187
3,2024-03-09 12:29:22.588171,0.274
0,2024-03-09 12:29:22.701161,0.016
1,2024-03-09 12:29:22.701168,0.024
2,2024-03-09 12:29:22.701170,0.129
3,2024-03-09 12:29:22.701173,0.128
0,2024-03-09 12:29:22.815010,0.017
1,2024-03-09 12:29:22.815016,0.017
2,2024-03-09 12:29:22.815019,0.081
3,2024-03-09 12:29:22.815021,0.054
0,2024-03-09 12:29:22.926980,0.016
1,2024-03-09 12:29:22.926986,0.011
2,2024-03-09 12:29:22.926989,0.042
3,2024-03-09 12:29:22.926991,0.058
0,2024-03-09 12:29:23.043959,0.015
1,2024-03-09 12:29:23.043966,0.018
2,2024-03-09 12:29:23.043968,0.194
3,2024-03-09 12:29:23.043971,0.029
0,2024-03-09 12:29:23.154817,0.015
1,2024-03-09 12:29:23.154823,0.011
2,2024-03-09 12:29:23.154826,0.020
3,2024-03-09 12:29:23.154828,0.055
0,2024-03-09 12:29:23.267832,0.017
1,2024-03-09 12:29:23.267838,0.016
2,2024-03-09 12:29:23.267841,0.018
3,2024-03-09 12:29:23.267843,0.020
